summery,opinion
['He said two employees of the Food Department had been taken into custody and an investigation had been launched against the embezzlement.'],neutral
"['Read More: Shireen Mazari slams UN’s role over Kashmir issue\r\nEarlier, Federal Minister for Human Rights Dr Shireen Mazari on February 19, had said any misadventure by Indian forces would be responded with even greater force and strength, adding that India had continuously violated United Nations’ resolutions on Indian occupied Kashmir.']",neutral
"['The NAB team, led by its director Asad Janjua, raided the house of ex-AJK president to arrest him in the wake of an ongoing investigation in the rental power project case.']",neutral
