summery
"['ISLAMABAD: On Wednesday, Prime Minister Imran Khan has said Pakistan offers best tourism attractions in the world ranging from beach, mountain, and desert tourism.']"
"['ISLAMABAD: On Wednesday, Prime Minister Imran Khan has said Pakistan offers best tourism attractions in the world ranging from beach, mountain, and desert tourism.']"
"['However, an official of the PR associated with the Train Examination Department in Sukkur said that train operations to will only normalise in 48 to 72 hours.']"
"['KARACHI: On Wednesday, the Sindh High Court (SHC) upheld acquittal of eight accused in a case pertaining to laundering of billions of dollars.']"
['Army Staff (COAS) General Qamar Javed Bajwa gave the approval at an army promotion board meeting held at GHQ.']
['The Foreign Office further said such test should be a matter of grave concern for the international community not only in terms of generation of space debris but also because of its ramifications for long term sustainability of peaceful space activities.']
"['“The adoption of the resolution today is a strong manifestation of our shared commitment to stand united against racial and religious hatred.” By the terms of Tuesday’s resolution, titled “Combating terrorism and other acts of violence based on religion or belief,” the assembly condemned in the strongest terms the heinous, cowardly terrorist attack aimed at Muslim praying in two mosques in Christchurch, and expressed its deepest condolences to the families of the victims and to the government and the people of New Zealand.']"
"['According to the Inter-Services Public Relations (ISPR), India on Tuesday resorted to unprovoked firing at Rakh Chakri area of the Rawalkot sector due to which three Pakistani soldiers embraced martyrdom and one was injured.']"
"['In a telephonic conversation with his American counterpart Mike Pompeo, two-way relationship and continuing facilitation of Pakistan for Afghan peace process were highlighted by FM Qureshi who said intra-Afghan dialogues were vital aspect of the reconciliation procedure.']"
"['Presiding 220th Core Commander Conference at the General Headquarters, the Chief of Army Staff (COAS) said the nation is moving forward on the path of progress after eliminating terrorism and fruits of social and economical progress are now evident.']"
"['Addressing a press conference after the cabinet meeting, the Info Minister said, “we saw the attitude that [India] maintained against Pakistani citizens, actors, artists and cricketers.” Referencing to the wearing of military caps by the Indian players prior to a recent match against Australia, he said that act was “the limit” for Pakistan.']"
"['Bilawal took to Twitter and said, “The federal government keeps showing record low tax collection and Prime Minister Imran Khan blames 18th amendment for federal government money problems.” “Sindh is the only government preforming on expanding tax base.']"
"['The appointments should have been made within 45 days of their retirements from Sindh and Balochistan according to Article 215 (4) inserted in the Constitution through the 22nd Amendment that reads, “Vacancy in the office of the commissioner or a member shall be filled within 45 days.” PM Khan and Sharif were required to recommend three names for representation of each province in the ECP.']"
"['“All suspects named in the references are considered to be close aides of Zardari, however, the former president himself has not been name as a direct suspect in the references.” A NAB executive board meeting is currently being chaired by the chairman of the accountability board, Justice (retd) Javed Iqbal, and a decision on whether to file the references in the accountability court is expected to be taken.']"
"['An additional district and sessions court in Lahore on March 20 had sentenced Czech model Tereza Hluskova to eight years and eight months in jail and fined her Rs113,000 after she was arrested last year on charges of carrying eight and a half kilogrammes of heroin from Lahore’s Allama Iqbal International Airport.']"
"['ISLAMABAD: On Tuesday early morning, three soldiers of the Pakistan Army were martyred and one wounded as Indian forces resorted to unprovoked firing  at Rawalakot Sector’s Rakhchakri area, said the military’s media wing, Inter-Services Public Relations (ISPR).']"
"['No Pakistani F16 was hit by Indian airforce.” Pakistan Air Force (PAF) strike with JF17 within the Pakistani airspace across the Line of Control, added the ISPR.']"
"['The children of murdered Saudi journalist Jamal Khashoggi have received multi million dollar homes and are being paid thousands of dollars per month by the kingdom’s authorities, The Washington Post reported Monday.']"
"['The children of murdered Saudi journalist Jamal Khashoggi have received multi million dollar homes and are being paid thousands of dollars per month by the kingdom’s authorities, The Washington Post reported Monday.']"
"['In a strategy dubbed by Indian and US observers as the “string of pearls,” China has made use of a growing number of naval bases in the Indian Ocean, most notably the Gwadar port it is developing in India’s historic rival Pakistan.']"
"['Read:Brunei to impose death by stoning for gay sex and adultery The laws, which also include amputation of hands and feet for thieves, make Brunei the first place in East or Southeast Asia to have a Sharia penal code at the national level, joining several mostly Middle Eastern countries such as Saudi Arabia.']"
"['“Thank God, we have this,” she adds, pointing to the two wells nearby, though “it’s chaos, it makes you want to run away.” Locals are waiting for the state water company to restore supplies.']"
['WASHINGTON: President Donald Trump said on Tuesday he was prepared to close the US southern border if necessary but that Mexico has apprehended thousands of people in recent days and its actions have made a big difference in the immigration situation.']
